node,degree,eig,parcel_name,network
167,61.0,0.052815467025169746,RH_DorsAttn_7,DorsalAttn
168,69.0,0.06773682087833839,RH_DorsAttn_8,DorsalAttn
169,62.0,0.052213885715990935,RH_DorsAttn_9,DorsalAttn
170,66.0,0.06375194038319697,RH_DorsAttn_10,DorsalAttn
171,69.0,0.06391379921082725,RH_DorsAttn_11,DorsalAttn
172,81.0,0.07122514839387839,RH_DorsAttn_12,DorsalAttn
173,68.0,0.06786426867009827,RH_DorsAttn_13,DorsalAttn
174,66.0,0.05881655478605683,RH_DorsAttn_14,DorsalAttn
175,65.0,0.055601020446811374,RH_DorsAttn_15,DorsalAttn
176,73.0,0.06977041586119848,RH_DorsAttn_16,DorsalAttn
177,57.0,0.055496114245310306,RH_DorsAttn_17,DorsalAttn
178,82.0,0.08314594054397939,RH_DorsAttn_18,DorsalAttn
179,57.0,0.05471716145111978,RH_DorsAttn_19,DorsalAttn
180,69.0,0.0612296904124293,RH_DorsAttn_20,DorsalAttn
181,79.0,0.07570880671347359,RH_SalVentAttn_1,Salience
182,87.0,0.08390268774202327,RH_SalVentAttn_2,Salience
183,68.0,0.058359839978655334,RH_SalVentAttn_3,Salience
184,72.0,0.0668320719349968,RH_SalVentAttn_4,Salience
185,61.0,0.049940654269352895,RH_SalVentAttn_5,Salience
186,82.0,0.08319975903288745,RH_SalVentAttn_6,Salience
187,80.0,0.07631147042518102,RH_SalVentAttn_7,Salience
188,76.0,0.083855989543494,RH_SalVentAttn_8,Salience
189,58.0,0.05520308854373125,RH_SalVentAttn_9,Salience
190,53.0,0.04545110958785825,RH_SalVentAttn_10,Salience
191,57.0,0.04867170683670409,RH_SalVentAttn_11,Salience
192,63.0,0.05635179152232748,RH_SalVentAttn_12,Salience
193,58.0,0.0482660295081488,RH_SalVentAttn_13,Salience
194,62.0,0.05067779596256434,RH_SalVentAttn_14,Salience
195,67.0,0.057265324661904655,RH_SalVentAttn_15,Salience
196,58.0,0.049966626650580485,RH_SalVentAttn_16,Salience
197,64.0,0.06013992421062926,RH_SalVentAttn_17,Salience
198,54.0,0.044550861892791435,RH_SalVentAttn_18,Salience
199,77.0,0.07235238984759086,RH_SalVentAttn_19,Salience
