node,edge_weight_sum,edge_count,edge_weight_mean
103,4.2050132300000005,9,0.46722369222222226
111,3.90009249,8,0.48751156125
108,3.85946561,8,0.48243320125
154,3.7669282199999996,8,0.47086602749999995
9,3.75393065,8,0.46924133125
13,3.3712025100000003,7,0.48160035857142863
120,3.3124000000000002,7,0.4732
17,2.9467970599999997,6,0.4911328433333333
12,2.86166462,6,0.4769441033333333
10,2.83970468,6,0.47328411333333337
138,2.8008324100000004,6,0.46680540166666673
102,2.7981286400000003,6,0.46635477333333336
115,2.4572756600000005,5,0.49145513200000013
25,2.40913077,5,0.481826154
22,2.38063466,5,0.476126932
35,2.3767138,5,0.47534276000000003
112,2.3247433600000003,5,0.46494867200000006
123,2.30558421,5,0.461116842
49,2.27073254,5,0.454146508
23,2.0293858,4,0.50734645
110,2.0274971,4,0.506874275
15,1.9775489400000001,4,0.49438723500000004
149,1.93388852,4,0.48347213
121,1.92582034,4,0.481455085
136,1.9126355899999998,4,0.47815889749999996
33,1.9073277599999998,4,0.47683193999999995
44,1.90636222,4,0.476590555
34,1.8776484199999999,4,0.46941210499999997
24,1.86844368,4,0.46711092
46,1.8575098099999998,4,0.46437745249999995
26,1.84502506,4,0.461256265
119,1.5553700199999998,3,0.5184566733333332
113,1.44641861,3,0.4821395366666667
146,1.4439632000000002,3,0.48132106666666674
28,1.44221697,3,0.48073899000000003
109,1.43150118,3,0.47716706
20,1.42991465,3,0.47663821666666667
197,1.4154518999999999,3,0.47181729999999994
171,1.3972645099999998,3,0.4657548366666666
73,1.3878335,3,0.46261116666666663
114,1.38393175,3,0.4613105833333333
133,1.34635347,3,0.44878449
116,1.06416635,2,0.532083175
195,1.02724473,2,0.513622365
8,1.01705938,2,0.50852969
107,0.99268719,2,0.496343595
132,0.98963212,2,0.49481606
18,0.98492187,2,0.492460935
183,0.9743611400000001,2,0.48718057000000003
62,0.96718486,2,0.48359243
96,0.96272505,2,0.481362525
95,0.95677346,2,0.47838673
128,0.9439456500000001,2,0.47197282500000004
39,0.94223462,2,0.47111731
14,0.9409993000000001,2,0.47049965000000005
131,0.93146529,2,0.465732645
67,0.9308953200000001,2,0.46544766000000004
140,0.9305484900000001,2,0.46527424500000003
42,0.92994942,2,0.46497471
126,0.92990726,2,0.46495363
4,0.92970505,2,0.464852525
147,0.9266942,2,0.4633471
198,0.92635647,2,0.463178235
156,0.92603314,2,0.46301657
3,0.91903279,2,0.459516395
1,0.91780573,2,0.458902865
143,0.9171758000000001,2,0.45858790000000005
48,0.91609338,2,0.45804669
152,0.9092085599999999,2,0.45460427999999997
11,0.90898287,2,0.454491435
27,0.90438071,2,0.452190355
155,0.9031798600000001,2,0.45158993000000003
90,0.89639654,2,0.44819827
79,0.8889815,2,0.44449075
19,0.53214955,1,0.53214955
196,0.50692713,1,0.50692713
124,0.50104076,1,0.50104076
104,0.49258086,1,0.49258086
81,0.4805823,1,0.4805823
184,0.47069266,1,0.47069266
75,0.4686116,1,0.4686116
52,0.46769187,1,0.46769187
70,0.46688762,1,0.46688762
176,0.46688762,1,0.46688762
38,0.4664973,1,0.4664973
142,0.4664973,1,0.4664973
173,0.465399,1,0.465399
66,0.465399,1,0.465399
164,0.4642237,1,0.4642237
170,0.4642237,1,0.4642237
137,0.46252558,1,0.46252558
166,0.46172604,1,0.46172604
141,0.46172604,1,0.46172604
118,0.46102998,1,0.46102998
98,0.45655483,1,0.45655483
199,0.45655483,1,0.45655483
53,0.45499665,1,0.45499665
37,0.45495796,1,0.45495796
29,0.4492502,1,0.4492502
88,0.4478673,1,0.4478673
125,0.44636634,1,0.44636634
129,0.44523168,1,0.44523168
61,0.44457915,1,0.44457915
65,0.44457915,1,0.44457915
193,0.44421372,1,0.44421372
16,0.4437873,1,0.4437873
106,0.44297254,1,0.44297254
157,0.4425297,1,0.4425297
130,0.44234508,1,0.44234508
